0.69, 0.524, 6, -8.39, 0, 0.103, 3.16e-06, 0.17, 0.562, 164.023, 223080, 4, 73
0.564, 0.703, 2, -5.459, 1, 0.269, 0.00927, 0.358, 0.477, 139.045, 237840, 4, 67
0.572, 0.631, 1, -8.389, 1, 0.104, 2.31e-05, 0.259, 0.219, 77.519, 249213, 4, 74
0.607, 0.718, 4, -4.095, 1, 0.0978, 0, 0.403, 0.551, 101.821, 213307, 4, 39
0.941, 0.335, 5, -10.179, 0, 0.505, 0, 0.262, 0.707, 120.041, 209640, 4, 79
0.605, 0.77, 5, -3.645, 0, 0.0446, 0, 0.159, 0.298, 130.037, 225915, 4, 71
0.426, 0.722, 5, -5.369, 0, 0.196, 1.27e-06, 0.262, 0.25, 196.133, 247267, 4, 74
0.926, 0.336, 0, -9.326, 0, 0.594, 0, 0.138, 0.38, 92.995, 196600, 4, 66
0.579, 0.904, 5, -2.729, 1, 0.0618, 0, 0.064, 0.681, 82.014, 190947, 4, 95
0.662, 0.844, 8, -5.495, 1, 0.0669, 4.78e-05, 0.525, 0.763, 145.007, 205760, 4, 72
0.628, 0.737, 7, -4.437, 1, 0.041, 0, 0.0777, 0.592, 91.507, 185194, 4, 69
0.735, 0.494, 8, -7.607, 0, 0.115, 1.05e-06, 0.108, 0.143, 135.159, 170752, 4, 65
0.783, 0.61, 7, -6.124, 1, 0.0696, 0, 0.0983, 0.418, 100.047, 214265, 4, 76
0.734, 0.765, 7, -5.562, 1, 0.0621, 0, 0.231, 0.518, 109.989, 163636, 4, 82
0.728, 0.811, 7, -4.278, 1, 0.0564, 2.07e-06, 0.362, 0.705, 114.995, 228707, 4, 68
0.826, 0.318, 10, -12.391, 1, 0.0574, 0.0131, 0.11, 0.138, 103.002, 245787, 4, 82
0.511, 0.566, 6, -7.23, 0, 0.2, 0, 0.34, 0.218, 83.903, 239836, 4, 60
0.619, 0.539, 1, -5.688, 0, 0.0409, 0, 0.106, 0.39, 112.006, 206400, 4, 65
0.522, 0.385, 0, -7.355, 1, 0.0288, 0, 0.135, 0.236, 89.792, 207520, 4, 87
0.763, 0.608, 5, -8.1, 0, 0.035, 2.5e-05, 0.12, 0.393, 121.02, 138013, 4, 65
0.386, 0.377, 4, -9.372, 0, 0.0484, 1.96e-06, 0.0864, 0.168, 172.618, 221596, 3, 73
0.77, 0.69, 1, -5.565, 1, 0.136, 0, 0.128, 0.732, 103.035, 178507, 4, 64
0.857, 0.517, 0, -6.972, 1, 0.0384, 0.000195, 0.102, 0.754, 129.063, 244973, 4, 75
0.838, 0.771, 1, -3.791, 1, 0.244, 0, 0.0853, 0.405, 175.957, 245387, 4, 73
0.666, 0.728, 7, -5.808, 1, 0.0419, 4.26e-06, 0.0429, 0.51, 122.996, 204878, 4, 79
0.668, 0.613, 4, -4.225, 1, 0.102, 0, 0.102, 0.498, 99.852, 181933, 4, 48
0.638, 0.832, 8, -5.039, 1, 0.049, 0, 0.113, 0.648, 124.071, 227893, 4, 62
0.589, 0.651, 6, -5.097, 1, 0.0306, 3.2e-06, 0.111, 0.166, 90.011, 212627, 4, 81
0.53, 0.422, 5, -6.262, 1, 0.0342, 0, 0.107, 0.349, 119.964, 221360, 4, 76
0.785, 0.702, 7, -4.517, 1, 0.0464, 0, 0.175, 0.569, 116.021, 167640, 4, 69
0.927, 0.488, 9, -9.433, 0, 0.42, 0, 0.196, 0.605, 133.987, 210937, 4, 77
0.587, 0.535, 5, -6.09, 0, 0.0898, 6.56e-05, 0.131, 0.14, 159.847, 218147, 4, 92
0.766, 0.709, 9, -6.471, 0, 0.123, 1.41e-05, 0.126, 0.506, 128.07, 211853, 4, 73
0.741, 0.626, 1, -4.826, 0, 0.0886, 0, 0.0828, 0.706, 108.029, 188493, 4, 67
0.583, 0.732, 11, -5.728, 0, 0.0457, 9.86e-06, 0.269, 0.276, 145.992, 213428, 4, 80
0.658, 0.535, 9, -8.983, 0, 0.0573, 0, 0.2, 0.419, 110.684, 227360, 4, 76
0.833, 0.673, 1, -6.981, 0, 0.315, 0, 0.136, 0.753, 148.019, 149080, 4, 58
0.8, 0.535, 7, -6.684, 1, 0.135, 9.48e-06, 0.213, 0.451, 92.027, 209680, 4, 72
0.848, 0.663, 8, -5.606, 0, 0.245, 0, 0.108, 0.333, 133.993, 255413, 4, 61
0.805, 0.451, 9, -7.109, 1, 0.117, 0, 0.248, 0.46, 108.088, 240039, 4, 50
0.934, 0.694, 11, -5.849, 0, 0.1, 1.21e-06, 0.479, 0.835, 123.822, 181240, 4, 41
0.607, 0.74, 4, -4.793, 0, 0.172, 0, 0.105, 0.219, 108.05, 189401, 4, 77
0.755, 0.599, 8, -5.042, 1, 0.224, 0, 0.109, 0.755, 133.123, 216632, 4, 82
0.865, 0.718, 8, -3.882, 1, 0.204, 7.62e-05, 0.264, 0.476, 153.548, 237655, 4, 55
0.867, 0.545, 2, -5.192, 1, 0.0625, 0.000289, 0.0505, 0.525, 139.943, 162586, 4, 73
0.414, 0.807, 10, -4.12, 0, 0.348, 0, 0.822, 0.409, 175.158, 191901, 4, 59
0.72, 0.802, 1, -5.797, 1, 0.0582, 0, 0.694, 0.723, 124.043, 229360, 4, 78
